governorate,year,hhs
jenin,1997,5.9
tubas,1997,6.1
tulkarm,1997,5.8
qalqilya,1997,6.1
salfit,1997,6
nablus,1997,5.9
ramallah_bireh,1997,5.9
jerusalem,1997,5.4
jericho,1997,6.2
bethlehem,1997,5.8
hebron,1997,6.7
northgaza,1997,7.2
gaza,1997,6.9
deir_albalah,1997,6.9
khanyunis,1997,6.9
rafah,1997,6.9
jenin,2007,5.3
tubas,2007,5.3
tulkarm,2007,5.3
qalqilya,2007,5.6
salfit,2007,5.4
nablus,2007,5.4
ramallah_bireh,2007,5.9
jerusalem,2007,5.4
jericho,2007,6.2
bethlehem,2007,5.3
hebron,2007,6.1
northgaza,2007,6.7
gaza,2007,6.5
deir_albalah,2007,6.4
khanyunis,2007,6.3
rafah,2007,6.5
jenin,2017,4.9
tubas,2017,4.9
tulkarm,2017,4.9
qalqilya,2017,4.9
salfit,2017,4.9
nablus,2017,4.9
ramallah_bireh,2017,4.9
jerusalem,2017,4.9
jericho,2017,4.9
bethlehem,2017,4.1
hebron,2017,4.9
northgaza,2017,5.7
gaza,2017,5.6
deir_albalah,2017,5.7
khanyunis,2017,5.6
rafah,2017,5.7
